"date","hub_id","product_id","quantity_issued"
2018 Dec,"hub_10","product_5",21591
2019 Jan,"hub_10","product_5",14186
2019 Feb,"hub_10","product_5",4391
2019 Mar,"hub_10","product_5",2075
2019 Apr,"hub_10","product_5",5643
2019 May,"hub_10","product_5",3768
2019 Jun,"hub_10","product_5",3211
2019 Jul,"hub_10","product_5",1e-06
2019 Aug,"hub_10","product_5",5874
2019 Sep,"hub_10","product_5",1153
2019 Oct,"hub_10","product_5",5526
2019 Nov,"hub_10","product_5",580
2019 Dec,"hub_10","product_5",1037
2020 Jan,"hub_10","product_5",1700
2020 Feb,"hub_10","product_5",7034
2020 Mar,"hub_10","product_5",614
2020 Apr,"hub_10","product_5",14393
2020 May,"hub_10","product_5",4410
2020 Jun,"hub_10","product_5",10133
2020 Jul,"hub_10","product_5",5740
2020 Aug,"hub_10","product_5",11115
2020 Sep,"hub_10","product_5",7732
2020 Oct,"hub_10","product_5",9792
2020 Nov,"hub_10","product_5",20518
2020 Dec,"hub_10","product_5",1145
2021 Jan,"hub_10","product_5",6896
2021 Feb,"hub_10","product_5",9027
2021 Mar,"hub_10","product_5",11105
2021 Apr,"hub_10","product_5",11925
2021 May,"hub_10","product_5",11900
2021 Jun,"hub_10","product_5",28384
2021 Jul,"hub_10","product_5",5833
2021 Aug,"hub_10","product_5",12781
2021 Sep,"hub_10","product_5",21400
2021 Oct,"hub_10","product_5",6500
2021 Nov,"hub_10","product_5",1125
2021 Dec,"hub_10","product_5",12960
2022 Jan,"hub_10","product_5",15380
2022 Feb,"hub_10","product_5",10620
2022 Mar,"hub_10","product_5",14051
2022 Apr,"hub_10","product_5",4874
2022 May,"hub_10","product_5",2470
2022 Jun,"hub_10","product_5",17560
2022 Jul,"hub_10","product_5",17820
2022 Aug,"hub_10","product_5",10020
2022 Sep,"hub_10","product_5",16236
2022 Oct,"hub_10","product_5",21206
2022 Nov,"hub_10","product_5",26460
2022 Dec,"hub_10","product_5",17910
2023 Jan,"hub_10","product_5",11948
2023 Feb,"hub_10","product_5",7920
